"date","meetid","raceid","track","race","horseid","entrantnumber","horse","field_size","raceclass","score"
2026-07-31,"5197245","5475225",Aquis Beaudesert,1,"5375608",2,Animado,7,Trial,
2026-07-31,"5197245","5475225",Aquis Beaudesert,1,"5362918",1,Mako,7,Trial,
2026-07-31,"5197245","5475225",Aquis Beaudesert,1,"5340521",5,Slightly Squeeze,7,Trial,
2026-07-31,"5197245","5475226",Aquis Beaudesert,2,"5357344",1,Deep Focus,6,Trial,
2026-07-31,"5197245","5475226",Aquis Beaudesert,2,"5351438",3,Rattle And Hum,6,Trial,
2026-07-31,"5197245","5475226",Aquis Beaudesert,2,"5330141",4,Puligny,6,Trial,
2026-07-31,"5197245","5475213",Aquis Beaudesert,3,"5290093",7,Sir Beveridge,6,Trial,
2026-07-31,"5197245","5475213",Aquis Beaudesert,3,"5332455",3,La Rosetta,6,Trial,
2026-07-31,"5197245","5475213",Aquis Beaudesert,3,"5321323",4,Last Command,6,Trial,
2026-07-31,"5197245","5475214",Aquis Beaudesert,4,"5284355",5,Scopics,5,Trial,
2026-07-31,"5197245","5475214",Aquis Beaudesert,4,"5283754",7,Bews,5,Trial,
2026-07-31,"5197245","5475214",Aquis Beaudesert,4,"5327051",1,Cantarito,5,Trial,
2026-07-31,"5197245","5475215",Aquis Beaudesert,5,"5368407",2,Scarlett Blaze,6,Trial,
2026-07-31,"5197245","5475215",Aquis Beaudesert,5,"5359636",4,Rulers Heart,6,Trial,
2026-07-31,"5197245","5475215",Aquis Beaudesert,5,"5360015",1,Irenova,6,Trial,
2026-07-31,"5197245","5475216",Aquis Beaudesert,6,"5372722",2,Stop It Oli,6,Trial,
2026-07-31,"5197245","5475216",Aquis Beaudesert,6,"5375619",4,Xami,6,Trial,
2026-07-31,"5197245","5475216",Aquis Beaudesert,6,"5378041",6,Bintang Tiger,6,Trial,
2026-07-31,"5197245","5475217",Aquis Beaudesert,7,"5364966",4,Echo Zulu,5,Trial,
2026-07-31,"5197245","5475217",Aquis Beaudesert,7,"5364363",2,Abitloa,5,Trial,
2026-07-31,"5197245","5475217",Aquis Beaudesert,7,"5367161",5,Novelty,5,Trial,
2026-07-31,"5197245","5472303",Aquis Beaudesert,8,"5257176",4,Glenrays Mate,7,Trial,
2026-07-31,"5197245","5472303",Aquis Beaudesert,8,"5345509",2,Ivantheinvincible,7,Trial,
2026-07-31,"5197245","5472303",Aquis Beaudesert,8,"5346683",1,Manpower,7,Trial,
2026-07-31,"5197245","5475218",Aquis Beaudesert,9,"5366491",4,Final Edit,6,Trial,
2026-07-31,"5197245","5475218",Aquis Beaudesert,9,"5336027",2,Pietari,6,Trial,
2026-07-31,"5197245","5475218",Aquis Beaudesert,9,"5327564",1,Miss Firestar,6,Trial,
2026-07-31,"5197245","5475219",Aquis Beaudesert,10,"5347648",5,Flying Vento,4,Trial,
2026-07-31,"5197245","5475219",Aquis Beaudesert,10,"5356488",4,Defiant Miss,4,Trial,
2026-07-31,"5197245","5475219",Aquis Beaudesert,10,"5345809",6,Miss Steffi,4,Trial,
2026-07-31,"5197245","5472305",Aquis Beaudesert,11,"5307051",2,Rafale Jolie,5,Trial,
2026-07-31,"5197245","5472305",Aquis Beaudesert,11,"5357299",3,Saveur,5,Trial,
2026-07-31,"5197245","5472305",Aquis Beaudesert,11,"5346128",4,The Pool Boy,5,Trial,
2026-07-31,"5197245","5475220",Aquis Beaudesert,12,"5364028",6,Johnny The Fox,6,Trial,
2026-07-31,"5197245","5475220",Aquis Beaudesert,12,"5362350",3,Profit In Paradise,6,Trial,
2026-07-31,"5197245","5475220",Aquis Beaudesert,12,"5361324",2,French Buck,6,Trial,
2026-07-31,"5197245","5475221",Aquis Beaudesert,13,"5365060",4,The Sniper,4,Trial,
2026-07-31,"5197245","5475221",Aquis Beaudesert,13,"5360503",6,Mishani Performer,4,Trial,
2026-07-31,"5197245","5475221",Aquis Beaudesert,13,"5369708",5,Brave Etoile,4,Trial,
2026-07-31,"5197245","5475222",Aquis Beaudesert,14,"5377776",2,Apostle,5,Trial,
2026-07-31,"5197245","5475222",Aquis Beaudesert,14,"5368412",5,Texas Cowgirl,5,Trial,
2026-07-31,"5197245","5475222",Aquis Beaudesert,14,"5363482",3,Oasis Ready,5,Trial,
2026-07-31,"5197245","5475223",Aquis Beaudesert,15,"5351157",1,Rothira,6,Trial,
2026-07-31,"5197245","5475223",Aquis Beaudesert,15,"5363323",7,Mr Lover Lover,6,Trial,
2026-07-31,"5197245","5475223",Aquis Beaudesert,15,"5376291",4,Ivancho,6,Trial,
2026-07-31,"5197245","5475224",Aquis Beaudesert,16,"5351365",1,Aces Are Good,5,Trial,
2026-07-31,"5197245","5475224",Aquis Beaudesert,16,"5371846",6,China Lee Rose,5,Trial,
2026-07-31,"5197245","5475224",Aquis Beaudesert,16,"5367033",5,Culminating,5,Trial,
2026-07-31,"5193541","5459828",Carnarvon,1,"5353971",4,Placid Rom,11,Maiden,78.48484848484848
2026-07-31,"5193541","5459828",Carnarvon,1,"5348983",7,Tango Rhythm,11,Maiden,64.84975408535618
2026-07-31,"5193541","5459828",Carnarvon,1,"5350687",1,Any Questions,11,Maiden,64.22684964831562
2026-07-31,"5193541","5459833",Carnarvon,2,"5313119",3,Devils I,6,BM 64,91.93871484959062
2026-07-31,"5193541","5459833",Carnarvon,2,"5273063",1,Corn Cob,6,BM 64,76.2868006536463
2026-07-31,"5193541","5459833",Carnarvon,2,"5039341",2,Lacevinsky,6,BM 64,61.71837281392255
2026-07-31,"5193541","5459829",Carnarvon,3,"5309838",3,Danea Rock,9,BM 58,76.80984379732595
2026-07-31,"5193541","5459829",Carnarvon,3,"5349952",2,Swishgobango,9,BM 58,69.79648700234135
2026-07-31,"5193541","5459829",Carnarvon,3,"5274211",5,Mr Hollywood,9,BM 58,55.60757857101062
2026-07-31,"5193541","5474981",Carnarvon,4,"5376649",4,Swexan,10,BM 0-57,82.51520216258436
2026-07-31,"5193541","5474981",Carnarvon,4,"5295393",1,Our Kiwi Princess,10,BM 0-57,78.54783989346103
2026-07-31,"5193541","5474981",Carnarvon,4,"5287007",5,Incandescent Lady,10,BM 0-57,76.19185741277602
2026-07-31,"5193541","5474982",Carnarvon,5,"5323955",2,Mystery Minute,12,BM 0-57,99.16095389881683
2026-07-31,"5193541","5474982",Carnarvon,5,"5311194",5,Kimberley Currency,12,BM 0-57,89.93049347130737
2026-07-31,"5193541","5474982",Carnarvon,5,"5325116",7,Fighting Thunder,12,BM 0-57,74.89658532012173
2026-07-31,"5193541","5459832",Carnarvon,6,"5317433",2,Only Us,12,BM 0-57,100.12783595113439
2026-07-31,"5193541","5459832",Carnarvon,6,"5293376",6,Candlelight Sherif,12,BM 0-57,79.7557912366337
2026-07-31,"5193541","5459832",Carnarvon,6,"5304580",4,Dream Illusion,12,BM 0-57,76.99342905494738
2026-07-31,"5193541","5459831",Carnarvon,7,"5329001",8,Yes I Believe,13,BM 0-57,102.2913320219365
2026-07-31,"5193541","5459831",Carnarvon,7,"5285440",5,Western Impact,13,BM 0-57,100.33955264155169
2026-07-31,"5193541","5459831",Carnarvon,7,"5273056",7,Le Troy,13,BM 0-57,80.70451799509391
2026-07-31,"5191041","5461654",Geelong,1,"5347308",2,Gaelic Kiwi,8,Maiden,62.9925035697287
2026-07-31,"5191041","5461654",Geelong,1,"5319443",6,Zikron,8,Maiden,56.65172182529906
2026-07-31,"5191041","5461654",Geelong,1,"5374943",5,The Victorious,8,Maiden,54.49355748963079
2026-07-31,"5191041","5475155",Geelong,2,"5360414",4,Shah Jahan,9,Maiden,78.07142857142857
2026-07-31,"5191041","5475155",Geelong,2,"5364448",14,Scorching Beauty,9,Maiden,73.91245791245791
2026-07-31,"5191041","5475155",Geelong,2,"5362402",11,Nothin Surer,9,Maiden,38.666666666666664
2026-07-31,"5191041","5475156",Geelong,3,"5367634",8,Flying Fury,10,Maiden,79.41111111111111
2026-07-31,"5191041","5475156",Geelong,3,"5365958",5,Alabama Dance,10,Maiden,35.163636363636364
2026-07-31,"5191041","5475156",Geelong,3,"5363819",4,Hank Honk,10,Maiden,4.8
2026-07-31,"5191041","5461653",Geelong,4,"5328105",8,Royal Duck,13,Maiden,83.44871794871794
2026-07-31,"5191041","5461653",Geelong,4,"5344987",5,Swift Statement,13,Maiden,78.57486338797814
2026-07-31,"5191041","5461653",Geelong,4,"5311301",7,Mystic Rapture,13,Maiden,42.41011199388163
2026-07-31,"5191041","5461650",Geelong,5,"5329617",7,Velvet City,13,Maiden,77.49970913321698
2026-07-31,"5191041","5461650",Geelong,5,"5361533",14,Frank Whisper,13,Maiden,70.60574980574981
2026-07-31,"5191041","5461650",Geelong,5,"5345721",13,Stelletta,13,Maiden,65.61069409727192
2026-07-31,"5191041","5461647",Geelong,6,"5352589",2,Omnic,14,BM 58,96.35502883599028
2026-07-31,"5191041","5461647",Geelong,6,"5302526",7,Charming Deel,14,BM 58,92.044425271698
2026-07-31,"5191041","5461647",Geelong,6,"5294672",4,Amphactor,14,BM 58,79.02674230946482
2026-07-31,"5191041","5461649",Geelong,7,"5318735",7,Step In Time,11,BM 58,92.50673838298779
2026-07-31,"5191041","5461649",Geelong,7,"5330726",8,Benbulben,11,BM 58,69.39141101639912
2026-07-31,"5191041","5461649",Geelong,7,"5357150",2,Silver Pledge,11,BM 58,66.87501576375922
2026-07-31,"5191041","5461651",Geelong,8,"5324989",4,Colt Forty Five,9,BM 0-57,78.84882379242208
2026-07-31,"5191041","5461651",Geelong,8,"5340111",3,Bancoora,9,BM 0-57,66.79896586041279
2026-07-31,"5191041","5461651",Geelong,8,"5286702",5,Headstock,9,BM 0-57,63.92377977408915
2026-07-31,"5191041","5461648",Geelong,9,"5329875",1,Ania,10,BM 0-57,114.19725455410844
2026-07-31,"5191041","5461648",Geelong,9,"5326779",12,Tuxedo Miss,10,BM 0-57,85.87743931461209
2026-07-31,"5191041","5461648",Geelong,9,"5285644",8,Xtramagic,10,BM 0-57,76.70981330267385
2026-07-31,"5194065","5462072",Port Macquarie,1,"5360103",11,Miss Trump,12,Maiden,78.16111111111111
2026-07-31,"5194065","5462072",Port Macquarie,1,"5354676",2,Cheating Lilibet,12,Maiden,72.22777777777777
2026-07-31,"5194065","5462072",Port Macquarie,1,"5374244",5,Royal Ribbons,12,Maiden,66.09285714285714
2026-07-31,"5197359","5475177",Port Macquarie,1,"5292840",3,Gandolfini,10,Trial,
2026-07-31,"5197359","5475177",Port Macquarie,1,"5252321",2,Fun Sponge,10,Trial,
2026-07-31,"5197359","5475177",Port Macquarie,1,"5363762",8,Royal Exile,10,Trial,
2026-07-31,"5194065","5462071",Port Macquarie,2,"5353220",5,Dark Justice,10,BM 58,66.83599344227616
2026-07-31,"5194065","5462071",Port Macquarie,2,"5349513",4,Bridego,10,BM 58,66.00045521668558
2026-07-31,"5194065","5462071",Port Macquarie,2,"5346110",3,Bonjour Bill,10,BM 58,62.38689739579792
